date,temperature,humidity,luminosity
2022-11-17 15:17:35.517,25.0,35.2,172
2022-11-17 15:17:30.472,25.0,35.1,168
2022-11-17 15:17:25.430,25.0,35.1,167
2022-11-17 15:17:20.386,25.0,35.1,168
2022-11-17 15:17:15.343,25.0,35.1,169
2022-11-17 15:17:10.300,24.9,35.1,166
2022-11-17 15:17:05.256,25.0,35.1,383
2022-11-17 15:17:00.213,25.0,35.1,159
2022-11-17 15:16:55.168,25.0,35.0,125
2022-11-17 15:16:50.125,25.0,35.2,142
2022-11-17 15:16:45.081,25.0,35.2,147
2022-11-17 15:16:40.038,25.0,35.2,146
2022-11-17 15:16:34.993,25.0,35.2,143
2022-11-17 15:16:29.951,25.0,35.2,148
2022-11-17 15:16:24.908,25.0,35.1,152
2022-11-17 15:16:19.865,25.0,35.2,151
2022-11-17 15:16:14.822,25.0,35.3,150
2022-11-17 15:16:09.779,25.0,35.3,140
2022-11-17 15:16:04.736,25.0,35.2,150
2022-11-17 15:15:59.692,25.0,35.2,143
2022-11-17 15:15:54.648,25.0,35.1,147
2022-11-17 15:15:49.605,25.0,35.1,154
2022-11-17 15:15:44.561,25.0,35.1,158
2022-11-17 15:15:39.518,25.0,35.0,146
2022-11-17 15:15:34.474,25.0,34.9,144
2022-11-17 15:15:29.432,25.0,34.9,140
2022-11-17 15:15:24.388,25.0,34.9,144
2022-11-17 15:15:19.345,25.0,35.0,141
2022-11-17 15:15:14.301,25.0,35.0,131
2022-11-17 15:15:09.258,24.9,35.0,148
2022-11-17 15:15:04.214,24.9,35.2,141
2022-11-17 15:14:59.171,25.0,35.1,131
2022-11-17 15:14:54.128,25.0,35.2,162
2022-11-17 15:14:49.084,24.9,35.3,130
2022-11-17 15:14:44.041,25.0,35.2,127
2022-11-17 15:14:38.998,25.0,35.2,123
2022-11-17 15:14:33.955,24.9,35.3,135
2022-11-17 15:14:28.912,24.9,35.2,128
2022-11-17 15:14:23.868,25.0,35.2,128
2022-11-17 15:14:18.825,24.9,35.2,159
2022-11-17 15:14:13.781,24.9,35.1,146
2022-11-17 15:14:08.737,24.9,35.1,126
2022-11-17 15:14:03.693,24.9,35.1,121
2022-11-17 15:13:58.649,24.9,35.0,120
2022-11-17 15:13:53.605,24.9,35.0,120
2022-11-17 15:13:48.562,24.8,35.0,124
2022-11-17 15:13:43.519,24.9,34.9,123
2022-11-17 15:13:38.476,24.9,34.9,116
2022-11-17 15:13:33.434,24.9,34.9,116
2022-11-17 15:13:28.390,24.9,34.9,118
2022-11-17 15:13:23.347,24.9,34.8,117
2022-11-17 15:13:18.303,24.9,34.9,160
2022-11-17 15:13:13.261,24.8,34.8,154
2022-11-17 15:13:08.216,24.8,34.9,142
2022-11-17 15:13:03.172,24.9,34.9,144
2022-11-17 15:12:58.128,24.8,35.0,147
2022-11-17 15:12:53.084,24.8,35.1,146
2022-11-17 15:12:48.042,24.8,35.0,145
2022-11-17 15:12:42.999,24.9,35.1,147
2022-11-17 15:12:37.956,24.8,35.2,123
2022-11-17 15:12:32.911,24.9,35.2,119
2022-11-17 15:12:27.869,24.9,35.1,157
2022-11-17 15:12:22.825,24.9,35.2,118
2022-11-17 15:12:17.781,24.8,35.2,120
2022-11-17 15:12:12.739,24.8,35.1,123
2022-11-17 15:12:07.695,24.8,35.1,119
2022-11-17 15:12:02.652,24.8,35.1,119
2022-11-17 15:11:57.609,24.9,35.0,121
2022-11-17 15:11:52.566,24.8,35.0,121
2022-11-17 15:11:47.524,24.8,34.9,125
2022-11-17 15:11:42.481,24.8,34.8,122
2022-11-17 15:11:37.437,24.8,34.8,126
2022-11-17 15:11:32.392,24.8,34.7,129
2022-11-17 15:11:27.349,24.8,34.8,123
2022-11-17 15:11:22.305,24.8,34.7,122
2022-11-17 15:11:17.262,24.8,34.8,123
2022-11-17 15:11:12.219,24.8,34.7,120
2022-11-17 15:11:07.176,24.8,34.7,115
2022-11-17 15:11:02.133,24.8,34.7,117
2022-11-17 15:10:57.089,24.7,34.7,128
2022-11-17 15:10:52.046,24.7,34.6,122
2022-11-17 15:10:47.002,24.7,34.6,141
2022-11-17 15:10:41.959,24.7,34.6,124
2022-11-17 15:10:36.916,24.8,34.4,123
2022-11-17 15:10:31.874,24.7,34.5,134
2022-11-17 15:10:26.830,24.7,34.6,120
2022-11-17 15:10:21.786,24.8,34.6,128
2022-11-17 15:10:16.743,24.8,34.7,120
2022-11-17 15:10:11.700,24.8,35.0,120
2022-11-17 15:10:06.657,24.7,35.1,133
